GUID,ISIN,TRA_TYPE,EXECUTION_PRICE,ORDER_TIMESTAMP,EXECUTION_TIMESTAMP,STOCK_EXCHANGE,INSTR_CCY,SET_CURRENCY,TRADE_CCY,INSTR_CLASS,INSTR_SUB_CLASS,INSTR_DESC,Source,Symbol
9920D754,US64110L1061,BUY,634.964,2021-10-06 14:34:00.000,2021-10-06 20:58:31.000,XNGS,USD,USD,,SWAP,CFD_OLD,Netflix -CFD,564,NFLX
67CC068C,US2253101016,BUY,611.2555,2021-10-06 14:34:00.000,2021-10-06 20:59:56.000,XNGS,USD,USD,,SWAP,CFD_OLD,Credit Acceptance -CFD,564,CACC
C40E5B4D,US4523271090,BUY,389.8199,2021-10-06 14:34:00.000,2021-10-06 20:59:55.000,XNGS,USD,USD,,SWAP,CFD_OLD,Illumina -CFD,564,ILMN
8866AB9C,US97717P1049,BUY,5.6711,2021-10-06 14:34:00.000,2021-10-06 20:59:57.000,XNGS,USD,USD,,SWAP,CFD_OLD,WisdomTree Investments -CFD,564,WETF
A87BF3BF,US98980L1017,BUY,253.3245,2021-10-06 14:34:00.000,2021-10-06 20:58:49.000,XNGS,USD,USD,,SWAP,CFD_OLD,Zoom Video Communications -CFD,564,ZM
A345151E,US12572Q1058,BUY,198.0003,2021-10-06 14:34:00.000,2021-10-06 20:59:36.000,XNGS,USD,USD,,SWAP,CFD_OLD,CME -CFD,564,CME
1B09D5D5,BE0003816338,SELL,8.6569,2021-10-06 12:41:26.000,2021-10-06 16:35:19.000,XBRU,EUR,EUR,,EQTY,ORD,Euronav,787,E:EURN
EC618CBA,NL0012969182,BUY,2435.9219,2021-10-06 12:41:26.000,2021-10-06 16:35:27.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,Adyen -CFD,787,E:ADYEN
AC751889,FR0000120107,SELL,62.784,2021-10-06 12:41:26.000,2021-10-06 16:35:25.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
E00AE382,FR0000121014,BUY,624.0294,2021-10-06 12:41:26.000,2021-10-06 16:35:29.000,XPAR,EUR,EUR,,SWAP,CFD_OLD,LVMH Moet Hennessy Louis Vuitton -CFD,787,E:MC
E4C44FF5,FR0000127771,SELL,10.9958,2021-10-06 12:41:26.000,2021-10-06 16:35:23.000,XPAR,EUR,EUR,,EQTY,ORD,Vivendi,787,E:VIV
