time,open,high,low,close,Volume,Volume MA
1435066200,2123.16,2128.03,2119.89,2124.2,3091190000,3207481000
1435152600,2123.33,2125.1,2108.58,2108.58,3102480000,3206207000
1435239000,2109.96,2116.04,2101.78,2102.31,3214610000,3217920000
1435325400,2102.62,2108.92,2095.38,2101.49,5025470000,3272824000
1435584600,2098.63,2098.63,2056.64,2057.64,3678960000,3306186500
1435671000,2061.19,2074.28,2056.32,2063.11,4078540000,3357646000
1435757400,2067,2082.78,2067,2077.42,3727260000,3389010000
1435843800,2078.03,2085.06,2071.02,2076.78,2996540000,3378834500
1436189400,2073.95,2078.61,2058.4,2068.76,3486360000,3390968000
1436275800,2069.52,2083.74,2044.02,2081.34,4458660000,3468043500
1436362200,2077.66,2077.66,2044.66,2046.68,3608780000,3496753500
1436448600,2049.73,2074.28,2049.73,2051.31,3446810000,3498378000
1436535000,2052.74,2081.31,2052.74,2076.62,3065070000,3495201500
1436794200,2080.03,2100.67,2080.03,2099.6,3096730000,3514068000
1436880600,2099.72,2111.98,2098.18,2108.95,3002120000,3511095500
1436967000,2109.01,2114.14,2102.49,2107.4,3261810000,3528191000
1437053400,2110.55,2124.42,2110.55,2124.29,3227080000,3528433000
1437139800,2126.8,2128.91,2119.88,2126.64,3362750000,3520552500
1437399000,2126.85,2132.82,2123.65,2128.28,3245870000,3460355500
1437485400,2127.55,2128.49,2115.4,2119.21,3343690000,3476039000
1437571800,2118.21,2118.51,2110,2114.15,3694070000,3506183000
1437658200,2114.16,2116.87,2098.63,2102.15,3772810000,3539699500
1437744600,2102.24,2106.01,2077.09,2079.65,3870040000,3572471000
1438003800,2078.19,2078.19,2063.52,2067.64,3836750000,3513035000
1438090200,2070.75,2095.6,2069.09,2093.25,4117740000,3534974000
1438176600,2094.7,2110.6,2094.08,2108.57,4038900000,3532992000
1438263000,2106.78,2110.48,2094.97,2108.63,3579410000,3525599500
1438349400,2111.6,2114.24,2102.07,2103.84,3681340000,3559839500
1438608600,2104.49,2105.7,2087.31,2098.04,3476770000,3559360000
1438695000,2097.68,2102.51,2088.6,2093.32,3546710000,3513762500
1438781400,2095.27,2112.66,2095.27,2099.84,3968680000,3531757500
1438867800,2100.75,2103.32,2075.53,2083.56,4246570000,3571745500
1438954200,2082.61,2082.61,2067.91,2077.57,3602320000,3598608000
1439213400,2080.98,2105.35,2080.98,2104.18,3514460000,3619494500
1439299800,2102.66,2102.66,2076.49,2084.07,3708880000,3654832500
1439386200,2081.1,2089.06,2052.09,2086.05,4269130000,3705198500
1439472600,2086.19,2092.93,2078.26,2083.39,3221300000,3704909500
1439559000,2083.15,2092.45,2080.61,2091.54,2795590000,3676551500
1439818200,2089.7,2102.87,2079.3,2102.44,2867690000,3657642500
1439904600,2101.99,2103.47,2094.14,2096.92,2949990000,3637957500
