TimeStamp,Mapping,RAW
,0 => E:BNP from 787,
,1 => E:BNP from EQUITY_L2_973,
2021-11-01T14:02:13.4189000Z,1,Q|367218||1635775333409002243|59.52|125|0|||||||||140213409018351||
2021-11-01T14:02:13.4189000Z,1,Q|367219||1635775332627352331||0||||||||||140213410285368||
2021-11-01T14:02:13.4189000Z,1,Q|367220||1635775332155119956||0|||||||||0|140213412170487||
2021-11-01T14:02:13.4189000Z,1,Q|367221||1635775332626057055|59.52|98|0||||||||0|||
2021-11-01T14:02:13.4189000Z,1,Q|367222||1635775332626057055||0|||||||||0|140213412170487||
2021-11-01T14:02:13.4189000Z,1,Q|367223||1635775333409002243|59.52|125|0||||||||0|||
2021-11-01T14:02:13.4189000Z,1,Q|367224||1635775333409002243||0|||||||||0|140213412170487||
2021-11-01T14:02:13.4189000Z,1,Q|367225||1635775331442910582|59.51|61|0||||||||0|||
2021-11-01T14:02:13.4189000Z,1,Q|367226||1635775333412193598||||||59.53|36|0|||0|140213412218780||
2021-11-01T14:02:13.4189000Z,1,Q|367227||1635775333412210173||||||59.54|100|0||||140213412229166||
2021-11-01T14:02:13.4189000Z,1,Q|367228||1635775332197922862||0||||||||||140213412254144||
2021-11-01T14:02:13.4189000Z,1,Q|367229||1635775333412243209||||||59.53|109|0||||140213412268309||
2021-11-01T14:02:13.4189000Z,1,Q|367230||1635775333412247941||||||59.53|125|0||||140213412268309||
2021-11-01T14:02:13.4189000Z,1,Q|367231||1635775333412263202|59.51|125|0|||||||||140213412282960||
2021-11-01T14:02:13.4189000Z,1,Q|367232||1635775333353891185|||||||0|||||140213412346607||
2021-11-01T14:02:13.4189000Z,1,Q|367233||1635775333285080532|||||||0|||||140213412530165||
2021-11-01T14:02:13.4189000Z,1,Q|367234||1635775333412740762||||||59.54|412|0||||140213412759521||
2021-11-01T14:02:13.4189000Z,0,T|30587||59.53|277|0||||0|1402134083611155953|1635775333.4189|140213408410575|140213408361115||||20211101|||||||||||||||||||||||||1402134083611155953
2021-11-01T14:02:13.4189000Z,0,T|30588||59.53|34|0||||0|1402134083611155953|1635775333.4189|140213408410575|140213408361115||||20211101|||||||||||||||||||||||||1402134083611155953
2021-11-01T14:02:13.4189000Z,0,T|30589||59.52|5|0||||0|1402134121119765952|1635775333.4189|140213412167147|140213412111976||||20211101|||||||||||||||||||||||||1402134121119765952
2021-11-01T14:02:13.4189000Z,0,T|30590||59.52|98|0||||0|1402134121119765952|1635775333.4189|140213412167147|140213412111976||||20211101|||||||||||||||||||||||||1402134121119765952
2021-11-01T14:02:13.4189000Z,0,T|30591||59.52|125|0||||0|1402134121119765952|1635775333.4189|140213412167147|140213412111976||||20211101|||||||||||||||||||||||||1402134121119765952
2021-11-01T14:02:13.4210000Z,0,T|30592||||||||0|||140213409788650|||||||||1|30200122||1|2||0|0|0|0|0|0|59.53|277|0010003861505|140213408361115|0|20|10|0|0|
2021-11-01T14:02:13.4210000Z,0,T|30593||||||||0|||140213409788650|||||||||1|30200122||1|2||0|0|0|0|0|0|59.53|34|0010003861761|140213408361115|0|20|10|0|0|
2021-11-01T14:02:13.4210000Z,0,T|30594||59.52|125|0||||0|1402134156910505952|1635775333.421|140213415722665|140213415691050||||20211101|||||||||||||||||||||||||1402134156910505952
2021-11-01T14:02:13.4210000Z,0,T|30595||59.51|125|0||||0|1402134165251785951|1635775333.421|140213416573636|140213416525178||||20211101|||||||||||||||||||||||||1402134165251785951
2021-11-01T14:02:13.4210000Z,1,Q|367235||1635775333412193598|||||||0||||0|140213412792126||
2021-11-01T14:02:13.4210000Z,1,Q|367236||1635775333412243209||||||59.53|109|0|||0|||
2021-11-01T14:02:13.4210000Z,1,Q|367237||1635775333414915698|59.5|245|0|||||||||140213414935367||
2021-11-01T14:02:13.4210000Z,1,Q|367238||1635775333412247941|||||||0|||||140213414972815||
2021-11-01T14:02:13.4210000Z,1,Q|367239||1635775333414998928|59.52|125|0||||||||0|140213415015984||
2021-11-01T14:02:13.4210000Z,1,Q|367240||1635775333142933228||0||||||||||140213415506255||
2021-11-01T14:02:13.4210000Z,1,Q|367241||1635775333414998928||0|||||||||0|140213415725763||
2021-11-01T14:02:13.4210000Z,1,Q|367242||1635775331442910582|59.51|61|0||||||||0|||
2021-11-01T14:02:13.4210000Z,1,Q|367243||1635775333415752342|59.2|167|0|||||||||140213415772893||
2021-11-01T14:02:13.4210000Z,1,Q|367244||1635775333415828182||||||59.53|125|0||||140213415845765||
2021-11-01T14:02:13.4210000Z,1,Q|367245||1635775331442910582||0|||||||||0|140213416496896||
2021-11-01T14:02:13.4210000Z,1,Q|367246||1635775333412263202|59.51|125|0||||||||0|||
2021-11-01T14:02:13.4210000Z,1,Q|367247||1635775333412263202||0|||||||||0|140213416576794||
2021-11-01T14:02:13.4210000Z,1,Q|367248||1635775329156707426|59.5|125|0||||||||0|||
2021-11-01T14:02:13.4210000Z,1,Q|367249||1635775333416542319||||||59.53|180|0||||140213416576794||
2021-11-01T14:02:13.4210000Z,1,Q|367250||1635775333416547743||||||59.53|68|0||||140213416576794||
2021-11-01T14:02:13.4210000Z,1,Q|367251||1635775333416601246||||||59.52|31|0|||0|140213416618791||
2021-11-01T14:02:13.4210000Z,1,Q|367252||1635775330352310779||0||||||||||140213416638992||
2021-11-01T14:02:13.4210000Z,1,Q|367253||1635775333416658011||||||59.52|123|0||||140213416688752||
2021-11-01T14:02:13.4210000Z,1,Q|367254||1635775333286570379||0||||||||||140213416688752||
2021-11-01T14:02:13.4210000Z,1,Q|367255||1635775333416663098|59.5|19|0|||||||||140213416688752||
2021-11-01T14:02:13.4210000Z,1,Q|367256||1635775330370063916||0||||||||||140213416702808||
2021-11-01T14:02:13.4210000Z,1,Q|367257||1635775333408543931|||||||0|||||140213416720869||
2021-11-01T14:02:13.4210000Z,1,Q|367258||1635775333408556267|||||||0|||||140213416725738||
2021-11-01T14:02:13.4210000Z,1,Q|367259||1635775333416727838|59.5|100|0|||||||||140213416749472||
2021-11-01T14:02:13.4384000Z,1,Q|367260||1635775330352847821||0||||||||||140213417160582||
2021-11-01T14:02:13.4384000Z,1,Q|367261||1635775333416601246|||||||0||||0|140213417194730||
2021-11-01T14:02:13.4384000Z,1,Q|367262||1635775333416658011||||||59.52|123|0|||0|||
2021-11-01T14:02:13.4384000Z,1,Q|367263||1635775329362887909||0||||||||||140213417202666||
2021-11-01T14:02:13.4384000Z,1,Q|367264||1635775333416547743|||||||0|||||140213417333299||
2021-11-01T14:02:13.4384000Z,1,Q|367265||1635775333417471593|59.5|35|0|||||||||140213417490693||
2021-11-01T14:02:13.4384000Z,1,Q|367266||1635775333417861932||||||59.53|170|0||||140213417880236||
2021-11-01T14:02:13.4384000Z,1,Q|367267||1635775333416658011|||||||0||||0|140213418950482||
2021-11-01T14:02:13.4384000Z,1,Q|367268||1635775333412243209||||||59.53|109|0|||0|||
2021-11-01T14:02:13.4384000Z,1,Q|367269||1635775333419462833||||||59.53|62|0||||140213419480026||
2021-11-01T14:02:13.4384000Z,1,Q|367270||1635775333419462833|||||||0|||||140213419497770||
